Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Owned By,Owned By,Comment,Comment,Comment
3152927,Report Module,report module,,,,epic,,,"Nov 17, 2016",,,,"Generate detail report, exception report and summary report",https://www.pivotaltracker.com/epic/show/3152927,,,,,,,,
3152911,Payment module,payment module,,,,epic,,,"Nov 17, 2016",,,,insert the item purchased by user and bill with valid payment amount & check for payment transaction,https://www.pivotaltracker.com/epic/show/3152911,,,,,,,,
3152875,Supplier Module,supplier module,,,,epic,,,"Nov 17, 2016",,,,CRUD function,https://www.pivotaltracker.com/epic/show/3152875,,,,,,,,
3152869,Inventory Module,inventory module,,,,epic,,,"Nov 17, 2016",,,,Add product & Display product & Update product price & Delete product & Add On Product Quantity(restock),https://www.pivotaltracker.com/epic/show/3152869,,,,,,,,
3152865,customer module,customer module,,,,epic,,,"Nov 17, 2016",,,,CRUD function & prize redemption function & view redemption record function,https://www.pivotaltracker.com/epic/show/3152865,,,,,,,,
3152845,management module,management module,,,,epic,,,"Nov 17, 2016",,,,"contain login function(verify username & password, remember me, forget password) and manage staff function(CRUD)",https://www.pivotaltracker.com/epic/show/3152845,,,,,,,,
134502967,allow staff to login,management module,3,"Nov 28, 2016","Dec 4, 2016",feature,1,started,"Nov 17, 2016",,,Ky Lam,provide login function to the staff based on position,https://www.pivotaltracker.com/story/show/134502967,,,Lee Chan Guan,Ky Lam,Lee Hwei Shen,"Commit by teohengsin94
https://github.com/dantard123/Agile-Road-TO-4.0/commit/a29d25d6d13b05a887a36c08730797499f30352d

Management Module Completed

Developers: Lee Chan Guan, Lam Koang Yong, Lee Hwei Sheen
Time: 2hours
Use_case: [ Completed #134502967], allow staff to login
========================================================================================
Developers: Lee Chan Guan, Teoh Eng Sin, Lim Chye Yik
Time: 2hours
Use_case: [ Completed #134503175], allow admin to create new staff detail
========================================================================================
Developers: Lee Hwei Sheen, Teoh Eng Sin, Lim Chye Yik
Time: 2hours
Use_case: [ Completed #134503247], allow staff to delete staff detail
========================================================================================
Developers: Lee Chan Guan, Lee Chan Guan, Lam Koang Yong
Time: 2hours
Use_case: [ Completed #134503121], allow system to remember username
========================================================================================
Developers: Lee Chan Guan, Lee Chan Guan, Lam Koang Yong
Time: 2hours
